commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P16_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
29068,Guiclan,MERCIER,Raymond,M,LUD,ensemble pour guiclan,609,False,2487.0,49.61,50.39,23.74,13.71,22.74,18.07,14.24,7.5,32.76,20.3,27.94,10.06
29069,Guilers,MAHE,Pascale,F,LUG,GUILERS AVENIR UN PROJET SOLIDAIRE,1499,True,8010.0,52.08,47.92,18.71,15.59,16.79,22.41,16.03,10.46,30.54,17.98,28.51,8.91
29069,Guilers,OGOR,Pierre,M,LDVD,CONTINUONS GUILERS AUTREMENT,2738,True,8010.0,52.08,47.92,18.71,15.59,16.79,22.41,16.03,10.46,30.54,17.98,28.51,8.91
29072,Guilvinec,COUANT,Guillaume,M,LSOC,VIVRE GUILVINEC AUTREMENT,513,True,2684.0,53.49,46.51,10.13,10.23,12.25,20.07,28.14,19.19,29.27,17.82,16.51,16.47
29072,Guilvinec,TANNEAU,Jean-Luc,M,LDVD,LE GUILVINEC DEMAIN,1098,True,2684.0,53.49,46.51,10.13,10.23,12.25,20.07,28.14,19.19,29.27,17.82,16.51,16.47
29074,Guimiliau,FAGOT,Louis,M,LDVD,S'engager pour l'avenir de Guimiliau,322,True,1016.0,48.43,51.57,24.31,13.88,23.52,19.49,12.6,6.2,40.86,18.27,22.32,11.93
29075,Guipavas,QUEFFELEC,Alain,M,LUG,AGIR POUR GUIPAVAS,1593,False,14466.0,50.73,49.27,18.61,15.83,18.05,21.98,15.74,9.8,28.82,17.4,32.15,9.25
29075,Guipavas,MOAL,Gurvan,M,LDVG,GUIPAVAS SOLIDAIRE 2014,2066,False,14466.0,50.73,49.27,18.61,15.83,18.05,21.98,15.74,9.8,28.82,17.4,32.15,9.25
29075,Guipavas,GUYADER,Catherine,F,LUC,POUR GUIPAVAS,734,False,14466.0,50.73,49.27,18.61,15.83,18.05,21.98,15.74,9.8,28.82,17.4,32.15,9.25
29075,Guipavas,JACOB,Fabrice,M,LDVD,GUIPAVAS AVENIR,2217,False,14466.0,50.73,49.27,18.61,15.83,18.05,21.98,15.74,9.8,28.82,17.4,32.15,9.25
29077,Guissï¿½ny,RAPIN,Raphaï¿½l,M,LDVG,VIVRE GUISSENY ENSEMBLE,746,True,2002.0,49.96,50.04,17.68,9.54,16.41,21.01,21.72,13.64,29.27,18.59,22.73,11.79
29078,Hanvec,MORVAN,Marie-Claude,F,LDVG,CONTINUONS ENSEMBLE POUR HANVEC,577,True,2020.0,50.05,49.95,21.53,11.68,22.43,21.73,13.91,8.71,26.36,20.92,34.82,9.07
29078,Hanvec,HERRY,Bruno,M,LDVD,HANVEC AUTREMENT,510,True,2020.0,50.05,49.95,21.53,11.68,22.43,21.73,13.91,8.71,26.36,20.92,34.82,9.07
29079,Henvic,MICHEAU,Christophe,M,LDVG,"henvic, pour un avenir dynamique",380,True,1333.0,51.51,48.49,19.19,11.56,17.5,22.06,17.86,11.83,35.72,17.67,23.39,10.01
29079,Henvic,BLANCHARD,Danielle,F,LDIV,"Avec les Henvicois, Pour les Henvicois",333,True,1333.0,51.51,48.49,19.19,11.56,17.5,22.06,17.86,11.83,35.72,17.67,23.39,10.01
29080,Hï¿½pital-Camfrout,ANDRE,Robert,M,LDVG,L'HOPITAL CAMFROUT AVEC VOUS,722,True,2230.0,49.72,50.28,22.01,11.74,22.99,18.72,15.77,8.78,23.81,19.33,38.18,9.44
29080,Hï¿½pital-Camfrout,LEON,Jean-Jacques,M,LDVD,AVANCONS ENSEMBLE,396,True,2230.0,49.72,50.28,22.01,11.74,22.99,18.72,15.77,8.78,23.81,19.33,38.18,9.44
29081,Huelgoat,GARREC,Corentin,M,LDVG,HUELGOAT DYNAMIQUE POUR UNE REUSSITE DURABLE A HUELGOAT,309,False,1490.0,53.54,46.46,7.81,7.36,8.39,22.77,27.94,25.74,31.29,17.09,21.11,13.39
29081,Huelgoat,LE FOLL,Louis,M,LDVG,Huelgoat Ensemble,190,False,1490.0,53.54,46.46,7.81,7.36,8.39,22.77,27.94,25.74,31.29,17.09,21.11,13.39
29081,Huelgoat,MICHEL,Benoï¿½t,M,LDVG,MIEUX VIVRE A HUELGOAT,341,False,1490.0,53.54,46.46,7.81,7.36,8.39,22.77,27.94,25.74,31.29,17.09,21.11,13.39
