year,file,stage,commune_code,commune_name,is_dom_tom
2008,plus_1000_tour1,income,ZM506,CHIRONGUI,True
2008,plus_1000_tour1,income,ZM507,DEMBENI,True
2008,plus_1000_tour1,income,ZM508,DZAOUDZI,True
2008,plus_1000_tour1,income,ZM509,KANI-KELI,True
2008,plus_1000_tour1,income,ZM510,KOUNGOU,True
2008,plus_1000_tour1,income,ZM511,MAMOUDZOU,True
2008,plus_1000_tour1,income,ZM512,MTSAMBORO,True
2008,plus_1000_tour1,income,ZM513,M'TSANGAMOUJI,True
2008,plus_1000_tour1,income,ZM514,OUANGANI,True
2008,plus_1000_tour1,income,ZM515,PAMANDZI,True
2008,plus_1000_tour1,income,ZM516,SADA,True
2008,plus_1000_tour1,income,ZM517,TSINGONI,True
2008,plus_1000_tour1,income,ZN800,Nouméa,True
2008,plus_1000_tour1,income,ZN809,Mont-Dore,True
2008,plus_1000_tour1,income,ZN811,Belep,True
2008,plus_1000_tour1,income,ZN812,Boulouparis,True
2008,plus_1000_tour1,income,ZN813,Canala,True
2008,plus_1000_tour1,income,ZN814,Ouvéa,True
2008,plus_1000_tour1,income,ZN815,Hienghène,True
2008,plus_1000_tour1,income,ZN816,Houailou,True
2008,plus_1000_tour1,income,ZN817,Kaala-Gomen,True
2008,plus_1000_tour1,income,ZN818,Kouaoua,True
2008,plus_1000_tour1,income,ZN819,Moindou,True
2008,plus_1000_tour1,income,ZN820,Lifou,True
2008,plus_1000_tour1,income,ZN821,Ouégoa,True
2008,plus_1000_tour1,income,ZN822,Poindimié,True
2008,plus_1000_tour1,income,ZN823,Ponérihouen,True
2008,plus_1000_tour1,income,ZN824,Pouébo,True
2008,plus_1000_tour1,income,ZN825,Pouembout,True
2008,plus_1000_tour1,income,ZN826,Poum,True
2008,plus_1000_tour1,income,ZN827,Poya,True
2008,plus_1000_tour1,income,ZN828,Maré,True
2008,plus_1000_tour1,income,ZN829,Thio,True
2008,plus_1000_tour1,income,ZN831,Touho,True
2008,plus_1000_tour1,income,ZN832,Ile des Pins,True
2008,plus_1000_tour1,income,ZN833,Voh,True
2008,plus_1000_tour1,income,ZN834,Yaté,True
2008,plus_1000_tour1,income,ZN835,Dumbéa,True
2008,plus_1000_tour1,income,ZN850,Koumac,True
2008,plus_1000_tour1,income,ZN860,Koné,True
2008,plus_1000_tour1,income,ZN870,Bourail,True
2008,plus_1000_tour1,income,ZN880,La Foa,True
2008,plus_1000_tour1,income,ZN881,Farino,True
2008,plus_1000_tour1,income,ZN882,Sarraméa,True
2008,plus_1000_tour1,income,ZN890,Païta,True
2008,plus_1000_tour1,income,ZP012,Arue,True
2008,plus_1000_tour1,income,ZP015,Faa a,True
2008,plus_1000_tour1,income,ZP025,Mahina,True
2008,plus_1000_tour1,income,ZP033,Paea,True
2008,plus_1000_tour1,income,ZP034,Papara,True
2008,plus_1000_tour1,income,ZP035,Papeete,True
2008,plus_1000_tour1,income,ZP036,Pirae,True
2008,plus_1000_tour1,income,ZP038,Punaauia,True
2008,plus_1000_tour1,income,ZP058,Uturoa,True
2008,plus_1000_tour1,income,ZS002,Saint-Pierre,True
2008,plus_1000_tour2,census,22007,Binic,False
2008,plus_1000_tour2,census,76095,Bihorel,False
2008,plus_1000_tour2,census,85060,Château-d'Olonne,False
2008,plus_1000_tour2,census,85166,Olonne-sur-Mer,False
2008,plus_1000_tour2,census,93059,Pierrefitte-sur-Seine,False
2008,plus_1000_tour2,census,ZA101,Les Abymes,True
2008,plus_1000_tour2,census,ZA105,Basse-Terre,True
2008,plus_1000_tour2,census,ZA106,Bouillante,True
2008,plus_1000_tour2,census,ZA107,Capesterre-Belle-Eau,True
2008,plus_1000_tour2,census,ZA111,Deshaies,True
2008,plus_1000_tour2,census,ZA114,Goyave,True
2008,plus_1000_tour2,census,ZA115,Lamentin,True
2008,plus_1000_tour2,census,ZA116,Morne-à-l'Eau,True
2008,plus_1000_tour2,census,ZA118,Petit-Bourg,True
2008,plus_1000_tour2,census,ZA119,Petit-Canal,True
2008,plus_1000_tour2,census,ZA120,Pointe-à-Pitre,True
2008,plus_1000_tour2,census,ZA122,Port-Louis,True
2008,plus_1000_tour2,census,ZA125,Saint-François,True
2008,plus_1000_tour2,census,ZA128,Sainte-Anne,True
2008,plus_1000_tour2,census,ZA129,Sainte-Rose,True
2008,plus_1000_tour2,census,ZA132,Trois-Rivières,True
2008,plus_1000_tour2,census,ZA134,Vieux-Habitants,True
2008,plus_1000_tour2,census,ZB205,Case-Pilote,True
2008,plus_1000_tour2,census,ZB207,Ducos,True
2008,plus_1000_tour2,census,ZB212,Gros-Morne,True
2008,plus_1000_tour2,census,ZB221,Rivière-Salée,True
2008,plus_1000_tour2,census,ZB223,Saint-Esprit,True
2008,plus_1000_tour2,census,ZB226,Sainte-Anne,True
2008,plus_1000_tour2,census,ZB227,Sainte-Luce,True
2008,plus_1000_tour2,census,ZB228,Sainte-Marie,True
2008,plus_1000_tour2,census,ZB229,Schoelcher,True
2008,plus_1000_tour2,census,ZB231,Les Trois-Ilets,True
2008,plus_1000_tour2,census,ZC309,Remire-Montjoly,True
2008,plus_1000_tour2,census,ZC353,Maripasoula,True
2008,plus_1000_tour2,census,ZC360,Apatou,True
2008,plus_1000_tour2,census,ZD402,Bras-Panon,True
2008,plus_1000_tour2,census,ZD403,Entre-Deux,True
2008,plus_1000_tour2,census,ZD405,Petite-Ile,True
2008,plus_1000_tour2,census,ZD406,La Plaine-des-Palmistes,True
2008,plus_1000_tour2,census,ZD409,Saint-André,True
2008,plus_1000_tour2,census,ZD411,Saint-Denis,True
2008,plus_1000_tour2,census,ZD413,Saint-Leu,True
2008,plus_1000_tour2,census,ZD414,Saint-Louis,True
2008,plus_1000_tour2,census,ZD415,Saint-Paul,True
2008,plus_1000_tour2,census,ZD417,Saint-Philippe,True
2008,plus_1000_tour2,census,ZD419,Sainte-Rose,True
2008,plus_1000_tour2,census,ZD423,Les Trois-Bassins,True
2008,plus_1000_tour2,census,ZM501,ACOUA,True
2008,plus_1000_tour2,census,ZM502,BANDRABOUA,True
2008,plus_1000_tour2,census,ZM503,BANDRELE,True
2008,plus_1000_tour2,census,ZM504,BOUENI,True
2008,plus_1000_tour2,census,ZM505,CHICONI,True
2008,plus_1000_tour2,census,ZM507,DEMBENI,True
2008,plus_1000_tour2,census,ZM508,DZAOUDZI,True
2008,plus_1000_tour2,census,ZM509,KANI-KELI,True
2008,plus_1000_tour2,census,ZM510,KOUNGOU,True
2008,plus_1000_tour2,census,ZM511,MAMOUDZOU,True
2008,plus_1000_tour2,census,ZM512,MTSAMBORO,True
2008,plus_1000_tour2,census,ZM513,M'TSANGAMOUJI,True
2008,plus_1000_tour2,census,ZM514,OUANGANI,True
2008,plus_1000_tour2,census,ZM515,PAMANDZI,True
2008,plus_1000_tour2,census,ZM516,SADA,True
2008,plus_1000_tour2,census,ZM517,TSINGONI,True
2008,plus_1000_tour2,census,ZN800,Nouméa,True
2008,plus_1000_tour2,census,ZN814,Ouvéa,True
2008,plus_1000_tour2,census,ZN816,Houailou,True
2008,plus_1000_tour2,census,ZN820,Lifou,True
2008,plus_1000_tour2,census,ZN822,Poindimié,True
2008,plus_1000_tour2,census,ZN828,Maré,True
2008,plus_1000_tour2,census,ZN835,Dumbéa,True
2008,plus_1000_tour2,census,ZN860,Koné,True
2008,plus_1000_tour2,census,ZN870,Bourail,True
2008,plus_1000_tour2,census,ZN890,Païta,True
2008,plus_1000_tour2,census,ZP012,Arue,True
2008,plus_1000_tour2,census,ZP025,Mahina,True
2008,plus_1000_tour2,census,ZP033,Paea,True
2008,plus_1000_tour2,census,ZP034,Papara,True
2008,plus_1000_tour2,census,ZP036,Pirae,True
2008,plus_1000_tour2,census,ZP038,Punaauia,True
2008,plus_1000_tour2,census,ZP058,Uturoa,True
2008,plus_1000_tour2,census,ZS002,Saint-Pierre,True
2008,plus_1000_tour2,income,ZA101,Les Abymes,True
2008,plus_1000_tour2,income,ZA105,Basse-Terre,True
2008,plus_1000_tour2,income,ZA106,Bouillante,True
2008,plus_1000_tour2,income,ZA107,Capesterre-Belle-Eau,True
2008,plus_1000_tour2,income,ZA111,Deshaies,True
2008,plus_1000_tour2,income,ZA114,Goyave,True
2008,plus_1000_tour2,income,ZA115,Lamentin,True
2008,plus_1000_tour2,income,ZA116,Morne-à-l'Eau,True
2008,plus_1000_tour2,income,ZA118,Petit-Bourg,True
2008,plus_1000_tour2,income,ZA119,Petit-Canal,True
2008,plus_1000_tour2,income,ZA120,Pointe-à-Pitre,True
2008,plus_1000_tour2,income,ZA122,Port-Louis,True
2008,plus_1000_tour2,income,ZA125,Saint-François,True
2008,plus_1000_tour2,income,ZA128,Sainte-Anne,True
2008,plus_1000_tour2,income,ZA129,Sainte-Rose,True
2008,plus_1000_tour2,income,ZA132,Trois-Rivières,True
2008,plus_1000_tour2,income,ZA134,Vieux-Habitants,True
2008,plus_1000_tour2,income,ZB205,Case-Pilote,True
2008,plus_1000_tour2,income,ZB207,Ducos,True
2008,plus_1000_tour2,income,ZB212,Gros-Morne,True
2008,plus_1000_tour2,income,ZB221,Rivière-Salée,True
2008,plus_1000_tour2,income,ZB223,Saint-Esprit,True
2008,plus_1000_tour2,income,ZB226,Sainte-Anne,True
2008,plus_1000_tour2,income,ZB227,Sainte-Luce,True
2008,plus_1000_tour2,income,ZB228,Sainte-Marie,True
